x(m),y(m)
1.231875,0.388675
1.240625,0.388675
1.249375,0.388675
1.258125,0.388675
1.266875,0.388675
1.275625,0.388675
1.284375,0.388675
1.293125,0.388675
1.231875,0.397625
1.240625,0.397625
1.249375,0.397625
1.258125,0.397625
1.266875,0.397625
1.275625,0.397625
1.284375,0.397625
1.293125,0.397625
1.231875,0.40657499999999996
1.240625,0.40657499999999996
1.249375,0.40657499999999996
1.258125,0.40657499999999996
1.266875,0.40657499999999996
1.275625,0.40657499999999996
1.284375,0.40657499999999996
1.293125,0.40657499999999996
1.231875,0.415525
1.240625,0.415525
1.249375,0.415525
1.258125,0.415525
1.266875,0.415525
1.275625,0.415525
1.284375,0.415525
1.293125,0.415525
1.231875,0.42447500000000005
1.240625,0.42447500000000005
1.249375,0.42447500000000005
1.258125,0.42447500000000005
1.266875,0.42447500000000005
1.275625,0.42447500000000005
1.284375,0.42447500000000005
1.293125,0.42447500000000005
1.231875,0.433425
1.240625,0.433425
1.249375,0.433425
1.258125,0.433425
1.266875,0.433425
1.275625,0.433425
1.284375,0.433425
1.293125,0.433425
1.231875,0.442375
1.240625,0.442375
1.249375,0.442375
1.258125,0.442375
1.266875,0.442375
1.275625,0.442375
1.284375,0.442375
1.293125,0.442375
1.231875,0.451325
1.240625,0.451325
1.249375,0.451325
1.258125,0.451325
1.266875,0.451325
1.275625,0.451325
1.284375,0.451325
1.293125,0.451325
