x0(m),y0(m),x1(m),y1(m)
# vessel, tf
1.3088,0.54785,1.3088,0.51215
# F1D
1.2738,-0.54785,1.3088,-0.54785
1.2738,-0.54785,1.3088,-0.51215
1.2738,-0.54785,1.2738,-0.51215
1.3088,-0.54785,1.2738,-0.51215
1.3088,-0.51215,1.2738,-0.51215
1.3088,-0.51215,1.3088,-0.54785
# OH-UI
0.2,0.25056,0.23508,0.25056
0.2,0.25056,0.23508,0.48996
0.2,0.25056,0.2,0.48996
0.23508,0.25056,0.2,0.48996
0.23508,0.48996,0.2,0.48996
0.23508,0.48996,0.23508,0.25056
# OH-UO
0.23508,0.25056,0.27016,0.25056
0.23508,0.25056,0.27016,0.48996
0.23508,0.25056,0.23508,0.48996
0.27016,0.25056,0.23508,0.48996
0.27016,0.48996,0.23508,0.48996
0.27016,0.48996,0.27016,0.25056
# OH-DI
0.2,-0.48996,0.23508,-0.48996
0.2,-0.48996,0.23508,-0.25056
0.2,-0.48996,0.2,-0.25056
0.23508,-0.48996,0.2,-0.25056
0.23508,-0.25056,0.2,-0.25056
0.23508,-0.25056,0.23508,-0.48996
# OH-DO
0.23508,-0.48996,0.27016,-0.48996
0.23508,-0.48996,0.27016,-0.25056
0.23508,-0.48996,0.23508,-0.25056
0.27016,-0.48996,0.23508,-0.25056
0.27016,-0.25056,0.23508,-0.25056
0.27016,-0.25056,0.27016,-0.48996
# OH-CI
0.2,-0.2373,0.23508,-0.2373
0.2,-0.2373,0.23508,0.2373
0.2,-0.2373,0.2,0.2373
0.23508,-0.2373,0.2,0.2373
0.23508,0.2373,0.2,0.2373
0.23508,0.2373,0.23508,-0.2373
# OH-CO
0.23508,-0.2373,0.27016,-0.2373
0.23508,-0.2373,0.27016,0.2373
0.23508,-0.2373,0.23508,0.2373
0.27016,-0.2373,0.23508,0.2373
0.27016,0.2373,0.23508,0.2373
0.27016,0.2373,0.27016,-0.2373
