x(m),y(m)
1.0877,1.1246
1.0877,1.15
1.0877,1.1754
1.1131,1.1246
1.1131,1.15
1.1131,1.1754
1.1385,1.0992
1.1385,1.1246
1.1385,1.15
1.1385,1.1754
1.1385,1.2008
1.1639,1.0992
1.1639,1.1246
1.1639,1.15
1.1639,1.1754
1.1639,1.2008
